NUMBER1,NUMBER2,NUMBER3,NUMBER4,NUMBER5,STAR1,STAR2,YEAR
2,24,34,38,43,1,7,2010
19,36,38,42,46,2,8,2010
3,20,29,35,42,3,8,2010
2,3,10,33,46,7,8,2010
8,19,28,32,46,4,7,2010
9,28,36,41,49,5,7,2010
12,15,32,36,45,7,9,2010
7,19,23,29,47,1,6,2010
21,23,33,40,50,4,5,2010
16,20,22,32,42,8,9,2010
4,5,9,11,39,3,5,2010
2,31,36,38,43,3,7,2010
9,30,35,39,46,6,8,2010
1,4,6,27,48,1,6,2010
1,4,16,40,48,1,9,2010
17,27,29,38,50,1,3,2010
17,21,35,41,45,1,5,2010
13,24,26,47,49,4,8,2010
1,6,13,30,49,1,9,2010
5,27,31,40,42,1,6,2010
4,9,15,21,47,2,7,2010
13,25,28,29,42,4,5,2010
3,4,11,28,39,2,8,2010
4,13,35,37,46,3,9,2010
38,39,45,46,49,7,8,2010
9,24,37,39,49,3,9,2010
12,13,36,41,46,1,8,2010
1,8,18,28,31,8,9,2010
2,29,31,32,38,1,4,2010
2,22,24,36,44,1,2,2010
4,17,34,40,42,4,9,2010
4,9,31,32,33,3,7,2010
7,19,30,38,50,4,7,2010
1,17,31,43,47,2,3,2010
3,6,15,21,32,7,9,2010
6,22,24,25,36,3,8,2010
3,7,8,43,46,6,8,2010
9,11,17,26,40,3,9,2010
7,21,23,24,44,3,4,2010
12,18,24,26,45,4,5,2010
8,16,18,37,43,2,6,2010
10,28,30,38,39,2,7,2010
1,26,33,36,46,6,7,2010
12,18,19,43,49,3,9,2010
7,11,18,29,42,6,7,2010
12,31,37,38,43,2,3,2010
1,5,18,38,45,4,6,2010
34,35,38,39,46,3,4,2010
9,17,30,39,43,5,7,2010
4,22,27,36,44,7,9,2010
11,26,29,49,50,4,7,2010
4,5,14,44,46,8,9,2010
9,22,24,27,36,5,7,2010
