NUMBER1,NUMBER2,NUMBER3,NUMBER4,NUMBER5,STAR1,STAR2,YEAR
6,9,13,14,35,3,4,2006
9,11,20,38,43,2,3,2006
9,23,35,37,42,3,7,2006
16,17,18,36,47,1,2,2006
4,8,16,37,41,2,5,2006
5,8,17,25,40,1,5,2006
12,22,32,33,36,2,6,2006
14,21,27,30,36,2,3,2006
11,13,24,44,49,3,9,2006
3,4,8,44,50,7,8,2006
10,19,34,45,47,3,6,2006
2,25,32,38,41,3,5,2006
5,11,22,35,38,7,8,2006
1,3,6,18,24,5,8,2006
10,29,30,45,49,3,8,2006
6,10,16,26,49,7,9,2006
1,10,12,32,33,1,8,2006
3,7,25,45,50,6,9,2006
10,28,40,47,48,6,8,2006
12,37,39,40,50,1,2,2006
27,28,31,46,47,2,5,2006
1,14,15,26,32,3,7,2006
3,8,12,29,43,6,7,2006
2,4,9,38,50,6,8,2006
1,7,17,31,36,2,8,2006
7,9,18,35,43,5,7,2006
6,15,16,40,43,1,2,2006
9,21,30,43,44,1,9,2006
1,16,26,30,36,3,9,2006
3,12,15,34,39,4,6,2006
7,8,27,41,48,1,6,2006
2,12,21,41,49,3,7,2006
3,5,25,34,49,5,8,2006
5,20,23,34,50,1,5,2006
4,8,14,16,50,3,9,2006
5,10,17,22,33,5,7,2006
1,20,22,37,46,1,9,2006
16,26,34,35,49,2,6,2006
12,13,29,44,50,4,5,2006
3,20,31,45,50,6,7,2006
17,28,33,35,47,4,9,2006
5,32,44,45,50,1,7,2006
1,21,33,45,49,4,8,2006
3,5,8,10,44,3,5,2006
1,11,18,19,47,3,7,2006
4,23,24,26,38,2,4,2006
5,6,38,48,50,6,7,2006
9,21,30,39,50,1,3,2006
9,15,21,40,49,1,4,2006
12,15,33,44,50,2,6,2006
8,12,19,33,34,1,6,2006
2,6,9,14,26,4,5,2006
