NUMBER1,NUMBER2,NUMBER3,NUMBER4,NUMBER5,STAR1,STAR2,YEAR
16,36,43,44,50,7,8,2011
19,21,25,26,44,3,7,2011
7,21,22,24,28,1,11,2011
1,9,12,14,48,1,7,2011
2,5,10,23,31,2,5,2011
7,12,18,33,37,1,11,2011
12,21,29,44,47,1,2,2011
19,20,21,34,38,3,9,2011
7,27,30,40,43,8,9,2011
11,25,41,45,50,2,7,2011
14,19,26,28,34,5,8,2011
16,18,24,38,40,2,4,2011
4,12,24,39,44,2,4,2011
6,17,22,45,47,3,11,2011
1,4,18,23,30,3,7,2011
1,4,15,29,40,1,5,2011
11,14,41,43,50,2,9,2011
14,20,23,45,46,1,11,2011
16,17,20,39,50,4,8,2011
12,22,27,28,39,4,10,2011
2,19,33,37,46,5,8,2011
18,23,37,46,48,2,10,2011
12,23,29,32,47,3,5,2011
1,4,12,16,48,9,10,2011
18,26,34,38,42,5,8,2011
14,16,23,38,45,8,11,2011
5,15,28,31,44,1,6,2011
18,27,28,35,40,3,5,2011
6,14,33,34,48,2,6,2011
9,19,25,36,38,7,11,2011
2,8,17,39,42,3,10,2011
9,28,30,32,49,9,10,2011
5,21,28,31,34,1,2,2011
35,42,47,48,50,8,9,2011
12,26,37,38,44,4,7,2011
2,8,10,19,46,5,9,2011
12,22,25,33,45,5,7,2011
4,6,14,42,50,2,4,2011
6,14,16,28,31,2,11,2011
1,13,17,18,45,3,8,2011
7,10,20,27,37,4,7,2011
7,23,24,34,36,8,11,2011
13,14,18,32,34,1,10,2011
5,8,14,24,33,3,8,2011
12,19,27,37,38,5,10,2011
1,5,22,25,48,3,11,2011
4,15,23,49,50,2,6,2011
3,16,25,26,35,5,9,2011
6,26,33,34,39,3,4,2011
17,19,38,42,45,9,10,2011
12,13,23,40,49,7,10,2011
11,28,29,47,49,1,5,2011
8,11,23,31,46,8,9,2011
15,16,30,44,50,2,3,2011
5,16,20,30,41,6,11,2011
17,20,35,49,50,3,4,2011
11,16,21,22,44,3,8,2011
5,12,19,41,48,8,10,2011
3,19,20,37,48,8,11,2011
6,25,36,38,40,4,10,2011
4,39,40,49,50,2,5,2011
1,9,10,22,50,5,11,2011
9,17,25,28,49,8,9,2011
16,23,24,26,29,2,9,2011
10,14,20,25,42,8,11,2011
20,21,37,45,46,2,3,2011
9,11,17,36,47,1,2,2011
3,10,15,28,45,5,7,2011
11,16,20,22,28,4,9,2011
15,25,38,40,41,1,2,2011
11,22,36,45,48,1,4,2011
4,6,21,39,41,2,6,2011
21,23,38,47,50,2,6,2011
4,17,21,22,33,4,8,2011
6,12,21,27,33,3,7,2011
1,13,20,26,50,6,7,2011
17,19,24,37,46,2,7,2011
11,25,27,28,41,5,8,2011
12,13,42,45,48,3,9,2011
2,3,15,45,49,5,9,2011
12,14,15,19,23,7,8,2011
2,11,24,35,47,5,9,2011
13,23,24,41,42,1,5,2011
3,11,13,18,21,4,5,2011
2,14,24,39,44,6,7,2011
1,22,32,48,50,6,7,2011
