NUMBER1,NUMBER2,NUMBER3,NUMBER4,NUMBER5,STAR1,STAR2,YEAR
13,20,24,29,45,3,7,2013
1,6,13,22,28,5,10,2013
5,19,31,43,50,2,6,2013
12,13,17,22,43,3,10,2013
6,8,27,37,41,7,10,2013
1,22,23,24,31,6,11,2013
6,24,35,49,50,1,7,2013
1,2,18,31,36,7,10,2013
6,13,15,29,32,2,9,2013
2,7,10,23,43,4,7,2013
19,23,27,42,44,3,5,2013
13,25,26,40,50,8,9,2013
14,15,19,36,45,1,10,2013
3,13,15,29,42,1,4,2013
14,29,37,40,48,2,11,2013
20,28,35,42,43,8,10,2013
6,12,13,35,38,2,3,2013
7,19,29,30,33,3,8,2013
9,10,30,32,37,2,6,2013
2,3,10,31,38,6,10,2013
29,33,39,41,44,9,11,2013
5,25,36,46,47,2,6,2013
18,27,39,43,47,4,7,2013
6,12,17,23,43,5,9,2013
23,24,26,33,42,3,5,2013
6,20,24,35,50,5,10,2013
19,23,25,44,48,8,9,2013
11,15,38,41,43,2,6,2013
10,20,26,28,43,9,11,2013
5,11,35,38,45,2,3,2013
13,17,21,42,44,9,11,2013
4,6,14,27,33,5,10,2013
7,11,14,28,30,2,10,2013
11,23,25,32,37,4,7,2013
5,9,16,18,42,7,9,2013
2,17,25,36,45,5,9,2013
7,30,38,40,43,2,6,2013
1,6,26,30,37,5,8,2013
5,11,42,49,50,8,11,2013
20,24,27,37,39,5,10,2013
5,17,20,47,50,1,4,2013
4,7,9,23,24,8,9,2013
16,17,31,47,49,3,11,2013
21,36,37,42,48,4,7,2013
3,4,11,14,43,1,6,2013
12,23,29,38,49,3,4,2013
14,15,16,19,44,4,5,2013
13,16,24,26,35,2,5,2013
19,23,34,47,50,4,6,2013
18,26,32,33,42,2,3,2013
16,18,31,38,49,4,10,2013
4,12,15,28,33,1,10,2013
11,13,14,28,30,4,5,2013
1,15,28,35,47,1,7,2013
4,5,13,27,35,1,2,2013
10,11,30,36,45,1,2,2013
17,24,33,41,44,1,11,2013
10,25,41,47,48,6,10,2013
5,7,9,25,41,1,5,2013
7,14,26,45,50,2,7,2013
31,33,34,37,40,1,6,2013
27,28,29,34,43,5,10,2013
8,13,26,34,38,3,11,2013
7,17,22,27,40,2,3,2013
7,8,19,28,29,5,9,2013
6,20,24,25,50,9,10,2013
7,8,24,27,36,5,11,2013
1,32,35,45,48,4,11,2013
13,27,28,42,43,4,6,2013
3,5,34,40,49,2,3,2013
13,36,40,43,50,5,9,2013
11,16,24,38,40,2,5,2013
1,4,7,10,50,4,11,2013
1,8,42,46,48,4,7,2013
1,11,22,33,50,4,6,2013
5,10,15,28,45,3,9,2013
15,35,38,44,48,5,10,2013
1,11,17,32,39,2,7,2013
12,17,25,29,41,1,4,2013
13,30,43,44,46,5,9,2013
4,26,30,42,44,6,11,2013
12,27,32,34,49,8,9,2013
19,32,35,37,44,1,9,2013
4,14,21,24,39,3,10,2013
2,4,10,22,50,5,8,2013
3,20,23,28,42,8,11,2013
8,19,31,33,39,2,7,2013
1,11,29,36,42,4,5,2013
3,12,13,17,30,2,6,2013
15,16,28,36,37,2,11,2013
12,15,28,30,44,8,9,2013
2,4,22,28,42,4,9,2013
5,11,16,25,28,7,9,2013
9,11,14,34,44,10,11,2013
6,25,31,40,45,6,7,2013
5,21,34,37,38,1,6,2013
9,16,26,36,39,2,6,2013
3,10,18,31,37,2,4,2013
1,10,44,45,48,1,4,2013
4,26,27,30,39,3,10,2013
22,38,40,42,47,1,11,2013
4,22,29,37,41,4,7,2013
2,20,22,26,47,5,9,2013
4,10,22,27,41,8,10,2013
2,7,8,36,49,1,11,2013
