NUMBER1,NUMBER2,NUMBER3,NUMBER4,NUMBER5,STAR1,STAR2,YEAR
10,35,42,47,48,2,11,2022
10,17,28,44,50,8,12,2022
6,23,36,39,47,8,10,2022
19,21,22,31,38,7,11,2022
2,7,27,34,40,3,11,2022
17,26,36,37,40,9,12,2022
6,16,17,25,31,2,6,2022
12,28,29,34,48,9,11,2022
3,10,13,42,49,3,9,2022
15,23,28,34,48,3,5,2022
10,13,27,36,37,2,10,2022
8,22,23,32,50,3,9,2022
5,28,30,48,49,5,11,2022
3,11,17,45,48,4,8,2022
3,25,27,28,29,4,9,2022
3,8,18,24,40,3,11,2022
8,20,26,47,48,3,8,2022
10,11,20,36,37,3,7,2022
4,25,28,34,45,8,11,2022
6,11,21,35,36,1,9,2022
2,12,17,28,46,6,10,2022
6,24,30,32,48,5,6,2022
21,30,31,35,47,2,10,2022
1,15,16,38,45,4,11,2022
1,11,13,24,49,5,6,2022
2,7,21,31,45,4,10,2022
8,11,33,42,43,6,11,2022
6,10,24,27,29,5,12,2022
7,17,21,29,40,8,11,2022
1,9,14,17,43,6,12,2022
1,2,12,19,26,2,8,2022
12,19,22,23,48,2,6,2022
12,18,21,25,31,2,9,2022
6,20,40,42,43,10,12,2022
8,24,26,39,42,3,5,2022
10,13,24,30,42,1,5,2022
5,9,14,26,32,3,7,2022
25,38,41,43,50,6,10,2022
9,20,31,33,44,2,12,2022
13,18,38,42,45,7,11,2022
6,20,34,37,43,7,10,2022
3,25,38,43,49,3,7,2022
1,19,36,38,49,6,9,2022
10,25,29,34,45,9,10,2022
6,16,18,39,47,2,4,2022
5,14,35,36,39,7,12,2022
3,12,19,24,30,2,5,2022
6,17,25,31,46,9,12,2022
4,23,32,33,44,9,12,2022
2,14,37,44,50,7,11,2022
18,28,35,36,41,6,11,2022
